Line,Female Parent,Male Parent
0,-,-
40,0,0
64.4,0,0
112,0,0
168,Feng Jiao 66-12,Tai Yuan Zao
202,0,0
238,0,0
245,0,0
301,IA1006,Legacy
304,0,0
306,IA1006,Legacy
411,0,0
441,0,0
605,0,0
614,0,0
701,0,0
703,0,0
741,0,0
790,0,0
850,0,0
851,0,0
866,0,0
877,0,0
1136,0,0
1698,0,0
1843,0,0
1936,0,0
2000,0,0
2038,Xiang Dou 3 Hao,Kai Shan Bai
2067,0,0
2139,0,0
2190,0,0
2240,0,0
2534,0,0
2835,0,0
2877,0,0
2932,0,0
3012,0,0
3105,0,0
3171,L77-994,PI556593
3206,0,0
3276,0,0
3293,0,0
3342,0,0
3481,0,0
3660,0,0
4485,0,0
4747,0,0
5007,0,0
5024,0,0
5081,0,0
5155,0,0
5157,0,0
5261,0,0
5621,PI458506,PI602502
5902,PI567604,Ji Ti 5 Hao
5961,PI556814,PI534645
6041,0,0
6084,0,0
6202,Xiao Jin Huang 1 Hao,Gong Jiao 5706
6203,Yi Shui Ping Ding Huang,Qi Huang 1 Hao
6303,PI578498,Qi Huang 1 Hao
6306,PI578498,PI88782
6347,PI518675,PI556781
6363,PI518675,PI556869
6510,Qi Huang 1 Hao,Ji Lin 2 Hao
6520,Qi Huang 1 Hao,A66
6526,1608174,6301B Hun-26
6532,PI578498,Nong Za 9-3
6810,Jing Huang 3 Hao,PI561327
7013,6510,Qi Huang 13
7032,6203,6520
7033,6203,6532
7106,0,0
7110,PI548467,69-2
7133,Zao Feng 1 Hao,Jiu Nong 2 Hao
7144,0,0
7178,0,0
7213,Jin Dou 1 Hao,Ri Ben Da Bai Mei
7219,He Ze 2084,6306
7253,Sui 70-6,PI548506
7333,Si Dou 2 Hao,He Nan Zao Feng 1 Hao
7406,0,0
7517,PI89783,Huai Yin Da Si Li
7583,Asgrow 2552,SN30003
7583,Yue Jin 4 Hao,PI548687
7605,7013,Yan Bian 7001-23
7614,2014346,PI548682
7821,Nai Yin Hei Dou,You Bian 31
8861,0,0
8901,PI436562,Bei Jing Dou
9007,0,0
9008,0,0
9042,0,0
9092,0,0
9132,0,0
9163,0,0
9242,0,0
9244,0,0
9281,0,0
9294,0,0
10003,0,0
10005,0,0
10007,0,0
10009,0,0
10010,0,0
10011,0,0
10013,0,0
10014,0,0
10022,0,0
10428,0,0
10928,80053,4MP4148-32
11415,0,0
12465,PI592535,90733
13007,PI568244,90733
13404,0,0
13873,0,0
13946,0,0
14624,0,0
16628,0,0
16728,0,0
16977,0,0
17219,0,0
18336,0,0
20895,0,0
21028,PI550730,PI584464
21052,ST2250,90676A
21063,PI561711,90683C
21066,MO12557,90688A
21069,MO92117-18,90682E
21070,PI584465,90688C
21080,PI578038,90682C
21082,PI542062,90685A
21096,0,0
21097,PI561711,21063
21111,PI578038,21080
21119,PI572284,21070
21132,PI540454,21082
21202,0,0
21231,0,0
21232,0,0
21238,0,0
21239,0,0
21710,PI561711,21097
21720,PI592546,21111
21721,PI568241,21119
21726,PI540454,21132
27204,0,0
30094,5961,PI556814
30107,XB33B,5961
30124,PI556910,30094
30129,XB33B,30107
30199,PI556910,30124
30214,PI556911,30129
30294,PI556910,30199
30310,PI556910,30294
30333,0,0
30388,PI556910,30310
30438,Pioneer 2981 x Asgrow 3127,Pioneer 2981 x (MV2E1 x Resnik)
30805,0,0
31438,PI592540,PI584463
31766,0,0
31910,31438,PI592540
32127,PI592547,31910
32332,0,0
32745,PI592547,32127
34606,0,0
34754,0,0
36478,0,0
37209,PI594383,PI606072
37357,0,0
37370,0,0
37393,Asgrow 3269,PI606072
40138,0,0
40656,PI602060,MON40-3-2
45270,ST2250,21721
45282,3660,21726
45477,PI598066,AGQ48803
46408,0,0
46427,0,0
49291,0,0
50001,0,0
50226,0,0
50321,0,0
50618,0,0
51232,0,0
51509,0,0
53840,0,0
56555,0,0
56568,0,0
60606,0,0
63639,0,0
63809,0,0
66635,0,0
66640,0,0
66643,0,0
66764,PI548519,PI548557
70543,PI518664,90773
70824,50321,31001-61
70887,PI518664,90773
70961,W8520-044,70543
71495,PI595692,70887
74628,Qi Huang 12,PI602994
76599,CM266,Dairyland DSR304
76713,0,0
76746,0,0
76751,0,0
76770,0,0
76983,0,0
78067,0,0
79076,76031-0-1,76033-0-1-1
80053,Williams 79 x Wells II,CM158
80451,0,0
82285,L77-994 x SRF 250,PI556781
88414,PI591630,2702R
90509,0,0
90675,PI584463,G40-3P9273
90676,ST2250,G40-3P9392
90679,0,0
90682,PI572285,G40-3P9341
90683,PI578038,G40-3P9392
90686,PI550730,G40-3P9392
90687,PI584466,G40-3P9341
90688,PI539936,G40-3P9392
90733,PI592538,90676
90738,0,0
90753,ST2250,90682
90755,PI578038,90683
90773,PI564714,90688
91133,0,0
91183,PI592546,21720
91533,0,0
91608,0,0
93258,0,0
94020,0,0
94523,0,0
96916,0,0
96964,0,0
97413,0,0
97613,0,0
97651,0,0
97663,0,0
98148,0,0
98601,PI556861,PI518664
98602,0,0
99047,0,0
99294,0,0
99345,0,0
99501,0,0
99503,0,0
99507,0,0
102115,0,0
103222,0,0
106014,0,0
116192,0,0
120279,0,0
120281,0,0
120282,0,0
120283,0,0
120284,0,0
120285,0,0
120286,0,0
120287,0,0
120300,0,0
120310,0,0
120311,0,0
126213,0,0
127562,0,0
127563,0,0
133220,0,0
133515,133220,PI602399
134137,0,0
136301,0,0
136305,0,0
136315,0,0
137335,PI598057,SN30003
146415,0,0
146416,0,0
146420,0,0
146422,0,0
146529,602216,WIG2683
146565,606932,PI612954
146904,0,0
149217,602216,AGA15801
149926,PI594386,AGM56501
156571,0,0
161033,0,0
171895,50321,50226
174033,0,0
196172,PI606083,A3502
201548,0,0
212938,602216,PI612940
215818,ST0280,PI612954
232405,PI628669,PI628661
240187,PI606072,Dekalb DKB31-51
240200,0,0
270930,0,0
276951,A1923 x 0,2701R x CX232
277524,FX9805,2701R x Alta
282870,0,0
322579,0,0
322580,0,0
322581,0,0
322869,0,0
330721,0,0
330739,QI5282,PI612937
332119,0,0
332120,0,0
332121,0,0
332122,0,0
332123,0,0
332124,0,0
332125,0,0
332126,0,0
332127,0,0
332128,0,0
332129,0,0
332130,0,0
332131,0,0
332132,0,0
332133,0,0
332134,0,0
332135,0,0
332137,0,0
332139,0,0
332141,0,0
332142,0,0
332143,0,0
332144,0,0
332145,0,0
332146,0,0
332147,0,0
332148,0,0
332149,0,0
341931,Cabot,AG2101 x Asgrow 0868
354818,0,0
362508,3045447-13,3045447-13 x MON89788
367478,CI36950,HPG3482A
384531,PI602897,PI612954
385240,ST0280,PI612954
400144,91533,90509
400222,90738,90509
404045,0,0
406441,0,0
409670,PI606083,AG3201
410235,0,0
417158,DCP3800A0R,PI594383
421133,Dekalb DKB31-51,Dekalb DKB35-51
436052,FR24960,PI612954
457114,QIG42980,DGL4500A0X
478516,0,0
487681,0,0
487682,0,0
487685,0,0
487686,0,0
491711,0,0
491712,0,0
491713,0,0
491714,0,0
491715,0,0
491716,0,0
491717,0,0
491718,0,0
491719,0,0
491720,0,0
491721,0,0
491722,0,0
491723,0,0
491724,0,0
491725,0,0
491726,0,0
491727,0,0
491728,0,0
491729,0,0
491730,0,0
491731,0,0
491732,0,0
491733,0,0
491734,0,0
491735,0,0
491737,0,0
491738,0,0
491739,0,0
500366,50226,10428
501577,80211-98 x 91133,91133
502748,80211-98 x 91133,91133
505469,80109-71 x 61615E,ST2250
509214,0,0
509235,0,0
509236,0,0
509237,0,0
509239,0,0
509240,0,0
509241,0,0
509243,0,0
509244,0,0
509245,0,0
509246,0,0
509247,0,0
509248,0,0
509249,0,0
509251,0,0
509252,0,0
509253,0,0
509254,0,0
509255,0,0
510080,8939SEN x 61615-94,ST2250
513930,A85-392026,63809
515657,32332-34,852024
515865,99931-39,PI562611
585540,PI548614,63639
602216,0,0
606932,0,0
615741,PI542071,HS4824
616906,13404GG,ResnikRR
622392,0,0
700045,01718-90,30333
708990,171895,16728
709048,0,0
737816,01718-90,01718-90 x 10305-01RR
738432,15724-32,ST2254
738594,13404BB2,01136-32 (2) x 71005-05RR
738907,13404GG,13404GG x ResnikRR
739685,34606,ST3264
739860,18270-82,ST3264
739871,18270-82,ST3264
749105,0,0
820013,10653-59,92027-04
829638,K-3444,ResnikRR
850126,0,0
852024,0,0
895325,0,0
900213,0,0
900613,0,0
901023,0,0
907012,0,0
915034,0,0
917013,0,0
919011,0,0
920011,0,0
921021,0,0
921031,0,0
922013,0,0
924001,0,0
924496,0,0
924788,0,0
924861,0,0
925011,0,0
925847,0,0
926877,0,0
927013,0,0
927341,0,0
927494,0,0
928070,0,0
929024,0,0
940021,0,0
941062,0,0
943013,0,0
954011,0,0
970203,0,0
977706,0,0
1000109,0,0
1000126,0,0
1000144,0,0
1000404,0,0
1000500,0,0
1000632,0,0
1000642,0,0
1000643,0,0
1000654,0,0
1000679,0,0
1000680,0,0
1000681,0,0
1000682,0,0
1000729,0,0
1000731,0,0
1000745,0,0
1004352,0,0
1004990,0,0
1022430,406441,01136-32 (2) x 71005-05RR
1022550,404045,91133 (2) x 10305-01RR
1032640,01678C-57,63639-58RR
1045635,PI651518,AG0803 x Asgrow 3244RR2
1045639,0,0
1045640,0,0
1045642,0,0
1045646,0,0
1045647,0,0
1045648,0,0
1045650,0,0
1045654,AG1702RR2YBC2,AG0803 x 3015806-01
1045662,BMK1206A0R x (DRM1503B0R x Asgrow 3244RR2),MK0309A5-B0YN
1045663,5201RR2Y,R0500 x DFL0804A0R
1045677,0,0
1045679,JW1508E7-A0YN,RM0809B3-D0YN
1045684,260744-14,5201RR2Y
1045691,260744-14,D5247567
1045693,RM0808A4-D0YN,D5864369
1045700,JW1508E7-A0YN,RM0809B3-D0YN
1045709,JW1508E7-A0YN,RM1609B8-B0YN
1045710,JW1508E7-A0YN,RM1609B8-B0YN
1045719,JW1508E7-A0YN,RM1609B8-B0YN
1045720,JW1508E7-A0YN,RM1609B8-B0YN
1045724,0,0
1045734,TWISTER RR,AG1431
1045738,0,0
1045747,JW1508E7-A0YN,RM1609B8-B0YN
1045751,JW1508E7-A0YN,AG1431
1045755,0,0
1045767,JW1508E7-A0YN,RM1609B8-B0YN
1045768,JW1508E7-A0YN,PRO 3025R2C
1045769,JW1508E7-A0YN,PRO 3025R2C
1045772,AG1702,AG1431
1045782,JW1508E7-A0YN,PRO 3025R2C
1045783,JW1508E7-A0YN,PRO 3025R2C
1045914,JW1508E7-A0YN,PRO 3025R2C
1045930,AG1702,PRO 3025R2C
1045961,AG2002,PRO 3025R2C
1045963,AG2002,PRO 3025R2C
1045968,0,0
1045982,AG2002,PRO 3025R2C
1045983,AG2002,PRO 3025R2C
1046009,AG2002,PRO 3025R2C
1046013,0,0
1046046,AG2002,PRO 3025R2C
1046051,JW2507B1-D0YN,5626085
1046072,PI651312,BL2708A3-D0YN
1046074,88234045,31-11RY
1046137,PI651312,AG2430
1046139,JW2407A6-D0YN,DFN3306B0R-0001
1046169,JW2007A6-D0YN,AK2708A2-D0YN
