Geno,F,M
DS11.02003,TN05.3027,IA3023
DS11.02005,TN05.3027,IA3023
DS11.02006,TN05.3027,IA3023
DS11.02007,TN05.3027,IA3023
DS11.02014,TN05.3027,IA3023
DS11.02017,TN05.3027,IA3023
DS11.02019,TN05.3027,IA3023
DS11.02022,TN05.3027,IA3023
DS11.02023,TN05.3027,IA3023
DS11.02024,TN05.3027,IA3023
DS11.02025,TN05.3027,IA3023
DS11.02026,TN05.3027,IA3023
DS11.02027,TN05.3027,IA3023
DS11.02029,TN05.3027,IA3023
DS11.02030,TN05.3027,IA3023
DS11.02031,TN05.3027,IA3023
DS11.02032,TN05.3027,IA3023
DS11.02033,TN05.3027,IA3023
DS11.02035,TN05.3027,IA3023
DS11.02036,TN05.3027,IA3023
DS11.02037,TN05.3027,IA3023
DS11.02038,TN05.3027,IA3023
DS11.02040,TN05.3027,IA3023
DS11.02042,TN05.3027,IA3023
DS11.02043,TN05.3027,IA3023
DS11.02044,TN05.3027,IA3023
DS11.02047,TN05.3027,IA3023
DS11.02049,TN05.3027,IA3023
DS11.02051,TN05.3027,IA3023
DS11.02054,TN05.3027,IA3023
DS11.02057,TN05.3027,IA3023
DS11.02059,TN05.3027,IA3023
DS11.02061,TN05.3027,IA3023
DS11.02063,TN05.3027,IA3023
DS11.02064,TN05.3027,IA3023
DS11.02065,TN05.3027,IA3023
DS11.02066,TN05.3027,IA3023
DS11.02069,TN05.3027,IA3023
DS11.02070,TN05.3027,IA3023
DS11.02071,TN05.3027,IA3023
DS11.02078,TN05.3027,IA3023
DS11.02080,TN05.3027,IA3023
DS11.02086,TN05.3027,IA3023
DS11.02089,TN05.3027,IA3023
DS11.02091,TN05.3027,IA3023
DS11.02093,TN05.3027,IA3023
DS11.02095,TN05.3027,IA3023
DS11.02098,TN05.3027,IA3023
DS11.02099,TN05.3027,IA3023
DS11.02108,TN05.3027,IA3023
DS11.02113,TN05.3027,IA3023
DS11.02115,TN05.3027,IA3023
DS11.02118,TN05.3027,IA3023
DS11.02120,TN05.3027,IA3023
DS11.02121,TN05.3027,IA3023
DS11.02123,TN05.3027,IA3023
DS11.02127,TN05.3027,IA3023
DS11.02129,TN05.3027,IA3023
DS11.02131,TN05.3027,IA3023
DS11.02132,TN05.3027,IA3023
DS11.02133,TN05.3027,IA3023
DS11.02135,TN05.3027,IA3023
DS11.02140,TN05.3027,IA3023
DS11.02141,TN05.3027,IA3023
DS11.02142,TN05.3027,IA3023
DS11.02143,TN05.3027,IA3023
DS11.02149,TN05.3027,IA3023
DS11.02150,TN05.3027,IA3023
DS11.02151,TN05.3027,IA3023
DS11.02152,TN05.3027,IA3023
DS11.02154,TN05.3027,IA3023
DS11.02155,TN05.3027,IA3023
DS11.02156,TN05.3027,IA3023
DS11.02157,TN05.3027,IA3023
DS11.02158,TN05.3027,IA3023
DS11.02159,TN05.3027,IA3023
DS11.02161,TN05.3027,IA3023
DS11.02162,TN05.3027,IA3023
DS11.02163,TN05.3027,IA3023
DS11.02164,TN05.3027,IA3023
DS11.02165,TN05.3027,IA3023
DS11.02166,TN05.3027,IA3023
DS11.02167,TN05.3027,IA3023
DS11.02168,TN05.3027,IA3023
DS11.02169,TN05.3027,IA3023
DS11.02173,TN05.3027,IA3023
DS11.02174,TN05.3027,IA3023
DS11.02177,TN05.3027,IA3023
DS11.02178,TN05.3027,IA3023
DS11.02180,TN05.3027,IA3023
DS11.02181,TN05.3027,IA3023
DS11.02182,TN05.3027,IA3023
DS11.02183,TN05.3027,IA3023
DS11.02186,TN05.3027,IA3023
DS11.02187,TN05.3027,IA3023
DS11.02188,TN05.3027,IA3023
DS11.02190,TN05.3027,IA3023
DS11.02191,TN05.3027,IA3023
DS11.03003,IA3023,X4J105.3.4
DS11.03004,IA3023,X4J105.3.4
DS11.03005,IA3023,X4J105.3.4
DS11.03006,IA3023,X4J105.3.4
DS11.03007,IA3023,X4J105.3.4
DS11.03008,IA3023,X4J105.3.4
DS11.03009,IA3023,X4J105.3.4
DS11.03010,IA3023,X4J105.3.4
DS11.03011,IA3023,X4J105.3.4
DS11.03012,IA3023,X4J105.3.4
DS11.03013,IA3023,X4J105.3.4
DS11.03014,IA3023,X4J105.3.4
DS11.03015,IA3023,X4J105.3.4
DS11.03016,IA3023,X4J105.3.4
DS11.03017,IA3023,X4J105.3.4
DS11.03018,IA3023,X4J105.3.4
DS11.03019,IA3023,X4J105.3.4
DS11.03020,IA3023,X4J105.3.4
DS11.03021,IA3023,X4J105.3.4
DS11.03022,IA3023,X4J105.3.4
DS11.03023,IA3023,X4J105.3.4
DS11.03024,IA3023,X4J105.3.4
DS11.03025,IA3023,X4J105.3.4
DS11.03026,IA3023,X4J105.3.4
DS11.03027,IA3023,X4J105.3.4
DS11.03029,IA3023,X4J105.3.4
DS11.03030,IA3023,X4J105.3.4
DS11.03031,IA3023,X4J105.3.4
DS11.03032,IA3023,X4J105.3.4
DS11.03034,IA3023,X4J105.3.4
DS11.03036,IA3023,X4J105.3.4
DS11.03037,IA3023,X4J105.3.4
DS11.03038,IA3023,X4J105.3.4
DS11.03039,IA3023,X4J105.3.4
DS11.03041,IA3023,X4J105.3.4
DS11.03044,IA3023,X4J105.3.4
DS11.03045,IA3023,X4J105.3.4
DS11.03047,IA3023,X4J105.3.4
DS11.03048,IA3023,X4J105.3.4
DS11.03050,IA3023,X4J105.3.4
DS11.03052,IA3023,X4J105.3.4
DS11.03055,IA3023,X4J105.3.4
DS11.03057,IA3023,X4J105.3.4
DS11.03058,IA3023,X4J105.3.4
DS11.03059,IA3023,X4J105.3.4
DS11.03064,IA3023,X4J105.3.4
DS11.03065,IA3023,X4J105.3.4
DS11.03066,IA3023,X4J105.3.4
DS11.03067,IA3023,X4J105.3.4
DS11.03070,IA3023,X4J105.3.4
DS11.03071,IA3023,X4J105.3.4
DS11.03072,IA3023,X4J105.3.4
DS11.03074,IA3023,X4J105.3.4
DS11.03075,IA3023,X4J105.3.4
DS11.03076,IA3023,X4J105.3.4
DS11.03077,IA3023,X4J105.3.4
DS11.03078,IA3023,X4J105.3.4
DS11.03079,IA3023,X4J105.3.4
DS11.03080,IA3023,X4J105.3.4
DS11.03081,IA3023,X4J105.3.4
DS11.03082,IA3023,X4J105.3.4
DS11.03083,IA3023,X4J105.3.4
DS11.03084,IA3023,X4J105.3.4
DS11.03085,IA3023,X4J105.3.4
DS11.03086,IA3023,X4J105.3.4
DS11.03088,IA3023,X4J105.3.4
DS11.03089,IA3023,X4J105.3.4
DS11.03104,IA3023,X4J105.3.4
DS11.03106,IA3023,X4J105.3.4
DS11.03108,IA3023,X4J105.3.4
DS11.03109,IA3023,X4J105.3.4
DS11.03110,IA3023,X4J105.3.4
DS11.03111,IA3023,X4J105.3.4
DS11.03112,IA3023,X4J105.3.4
DS11.03113,IA3023,X4J105.3.4
DS11.03115,IA3023,X4J105.3.4
DS11.03116,IA3023,X4J105.3.4
DS11.03119,IA3023,X4J105.3.4
DS11.03120,IA3023,X4J105.3.4
DS11.03122,IA3023,X4J105.3.4
DS11.03123,IA3023,X4J105.3.4
DS11.03124,IA3023,X4J105.3.4
DS11.03126,IA3023,X4J105.3.4
DS11.03128,IA3023,X4J105.3.4
DS11.03129,IA3023,X4J105.3.4
DS11.03130,IA3023,X4J105.3.4
DS11.03131,IA3023,X4J105.3.4
DS11.03132,IA3023,X4J105.3.4
DS11.03133,IA3023,X4J105.3.4
DS11.03134,IA3023,X4J105.3.4
DS11.03135,IA3023,X4J105.3.4
DS11.03138,IA3023,X4J105.3.4
DS11.03142,IA3023,X4J105.3.4
DS11.03143,IA3023,X4J105.3.4
DS11.03144,IA3023,X4J105.3.4
DS11.03145,IA3023,X4J105.3.4
DS11.03147,IA3023,X4J105.3.4
DS11.03148,IA3023,X4J105.3.4
DS11.03149,IA3023,X4J105.3.4
DS11.03151,IA3023,X4J105.3.4
DS11.03154,IA3023,X4J105.3.4
DS11.03157,IA3023,X4J105.3.4
DS11.03158,IA3023,X4J105.3.4
DS11.03160,IA3023,X4J105.3.4
DS11.03161,IA3023,X4J105.3.4
DS11.03162,IA3023,X4J105.3.4
DS11.03163,IA3023,X4J105.3.4
DS11.03164,IA3023,X4J105.3.4
DS11.03165,IA3023,X4J105.3.4
DS11.03166,IA3023,X4J105.3.4
DS11.03168,IA3023,X4J105.3.4
DS11.03169,IA3023,X4J105.3.4
DS11.03170,IA3023,X4J105.3.4
DS11.03171,IA3023,X4J105.3.4
DS11.03172,IA3023,X4J105.3.4
DS11.03173,IA3023,X4J105.3.4
DS11.03174,IA3023,X4J105.3.4
DS11.03175,IA3023,X4J105.3.4
DS11.03176,IA3023,X4J105.3.4
DS11.03177,IA3023,X4J105.3.4
DS11.03178,IA3023,X4J105.3.4
DS11.03180,IA3023,X4J105.3.4
DS11.03181,IA3023,X4J105.3.4
DS11.03183,IA3023,X4J105.3.4
DS11.03185,IA3023,X4J105.3.4
